Order_ID,Order_Date,Buyer_Age,Sales_Price,Shipping_Charges,Sales_per_Unit,Quantity,Total_Sales,Rating,Product_ID,Order_Location,International_Shipping,Buyer_Gender,Product_Category_Clothing,Product_Category_Ornaments,Product_Category_Other
189440,2024-07-21,30,100,0,100,1,100,4,0,15,0,1,1.0,0.0,0.0
187385,2024-07-20,32,100,0,100,1,100,3,0,6,0,1,1.0,0.0,0.0
181844,2024-07-21,26,9,40,49,1,49,2,1,1,1,0,0.0,0.0,1.0
197934,2024-08-19,28,9,0,9,2,18,3,1,18,0,1,0.0,0.0,1.0
122470,2024-01-06,19,10,0,10,3,30,5,2,11,0,0,0.0,0.0,1.0
199680,2024-06-01,29,118,100,218,1,218,1,3,23,1,1,1.0,0.0,0.0
130929,2024-03-06,32,32,0,32,3,96,4,4,10,0,1,0.0,1.0,0.0
164427,2024-04-16,26,32,0,32,2,64,3,4,11,0,1,0.0,1.0,0.0
149510,2024-05-22,26,10,0,10,1,10,4,2,16,0,0,0.0,0.0,1.0
176280,2024-02-27,20,65,100,165,1,165,4,5,23,1,1,1.0,0.0,0.0
196659,2023-11-05,34,118,25,143,1,143,5,3,12,1,0,1.0,0.0,0.0
146245,2024-09-24,21,65,0,65,1,65,1,5,20,0,1,1.0,0.0,0.0
150560,2024-10-04,29,118,0,118,3,354,5,3,6,0,1,1.0,0.0,0.0
138348,2024-01-26,26,130,0,130,2,260,2,6,15,0,1,1.0,0.0,0.0
138790,2024-05-13,24,32,25,57,2,114,3,4,12,1,1,0.0,1.0,0.0
170025,2023-12-03,34,97,50,147,1,147,5,7,17,1,1,1.0,0.0,0.0
168520,2024-09-23,31,15,0,15,3,45,2,8,21,0,0,0.0,1.0,0.0
165261,2023-12-13,32,65,0,65,1,65,5,5,6,0,1,1.0,0.0,0.0
182299,2024-03-26,25,10,0,10,1,10,5,2,2,0,0,0.0,0.0,1.0
165196,2024-08-31,20,65,40,105,2,210,2,5,8,1,1,1.0,0.0,0.0
153554,2024-09-01,23,97,0,97,1,97,1,7,2,0,1,1.0,0.0,0.0
131552,2023-11-30,26,65,0,65,1,65,4,5,19,0,1,1.0,0.0,0.0
146178,2024-06-04,18,10,0,10,2,20,3,2,3,0,0,0.0,0.0,1.0
138795,2024-06-02,19,118,0,118,3,354,1,3,15,0,0,1.0,0.0,0.0
142933,2024-07-23,19,97,0,97,4,388,3,7,15,0,1,1.0,0.0,0.0
188192,2024-10-31,32,10,40,50,2,100,1,2,1,1,1,0.0,0.0,1.0
184678,2024-06-08,28,15,0,15,1,15,5,8,20,0,1,0.0,1.0,0.0
128904,2024-02-28,22,100,100,200,3,600,5,0,23,1,1,1.0,0.0,0.0
191045,2023-11-29,20,97,40,137,1,137,4,7,4,1,1,1.0,0.0,0.0
163054,2024-01-16,30,65,40,105,4,420,1,5,5,1,1,1.0,0.0,0.0
121078,2023-12-13,22,10,0,10,4,40,5,2,0,0,0,0.0,0.0,1.0
180876,2024-07-14,31,9,0,9,1,9,4,1,20,0,1,0.0,0.0,1.0
155281,2024-02-26,22,32,0,32,3,96,5,4,2,0,1,0.0,1.0,0.0
183087,2024-02-16,25,65,0,65,1,65,2,5,0,0,1,1.0,0.0,0.0
185910,2024-07-09,22,65,40,105,1,105,4,5,5,1,0,1.0,0.0,0.0
165100,2024-10-12,29,10,40,50,1,50,5,2,4,1,1,0.0,0.0,1.0
167831,2024-03-09,22,32,0,32,1,32,5,4,15,0,1,0.0,1.0,0.0
185069,2024-01-12,32,9,0,9,1,9,4,1,2,0,1,0.0,0.0,1.0
153675,2024-05-30,31,32,40,72,5,360,5,4,1,1,1,0.0,1.0,0.0
169012,2024-06-10,21,9,0,9,1,9,2,1,16,0,0,0.0,0.0,1.0
185868,2024-01-14,18,10,0,10,1,10,4,2,18,0,0,0.0,0.0,1.0
199507,2024-05-10,22,10,0,10,2,20,3,2,2,0,1,0.0,0.0,1.0
187807,2024-04-21,20,65,0,65,1,65,2,5,18,0,1,1.0,0.0,0.0
131889,2024-04-17,19,65,25,90,1,90,4,5,12,1,0,1.0,0.0,0.0
191650,2024-07-11,35,65,0,65,5,325,1,5,6,0,1,1.0,0.0,0.0
120961,2024-08-28,23,65,40,105,1,105,3,5,5,1,0,1.0,0.0,0.0
123878,2024-07-18,19,9,25,34,1,34,4,1,24,1,1,0.0,0.0,1.0
142003,2024-07-22,32,65,40,105,1,105,5,5,1,1,1,1.0,0.0,0.0
177177,2024-05-12,33,130,0,130,1,130,3,6,6,0,1,1.0,0.0,0.0
182615,2024-02-18,26,97,0,97,5,485,2,7,20,0,0,1.0,0.0,0.0
163266,2024-06-23,26,15,70,85,1,85,5,8,13,1,0,0.0,1.0,0.0
159105,2024-04-20,21,10,40,50,1,50,4,2,8,1,1,0.0,0.0,1.0
150308,2024-06-09,22,65,40,105,3,315,4,5,5,1,0,1.0,0.0,0.0
125917,2024-05-29,28,45,40,85,1,85,5,9,8,1,1,0.0,1.0,0.0
199874,2024-02-26,26,45,0,45,2,90,4,9,15,0,1,0.0,1.0,0.0
175571,2024-04-02,21,97,0,97,1,97,4,7,10,0,0,1.0,0.0,0.0
184218,2023-12-19,25,10,0,10,2,20,3,2,21,0,0,0.0,0.0,1.0
192227,2024-02-15,33,100,0,100,3,300,1,0,22,0,1,1.0,0.0,0.0
139449,2024-01-20,25,130,0,130,1,130,2,6,0,0,0,1.0,0.0,0.0
168070,2024-09-26,18,50,40,90,1,90,5,10,8,1,1,0.0,1.0,0.0
163107,2024-08-25,32,65,0,65,1,65,4,5,6,0,1,1.0,0.0,0.0
135780,2024-10-20,27,65,40,105,1,105,4,5,8,1,0,1.0,0.0,0.0
138768,2024-03-06,28,65,40,105,1,105,5,5,9,1,1,1.0,0.0,0.0
133935,2024-04-16,24,9,0,9,2,18,5,1,16,0,1,0.0,0.0,1.0
193605,2024-04-05,21,10,40,50,1,50,1,2,7,1,1,0.0,0.0,1.0
132689,2024-04-21,29,20,0,20,1,20,5,11,11,0,1,0.0,1.0,0.0
123840,2024-09-20,34,15,0,15,4,60,1,8,19,0,1,0.0,1.0,0.0
180476,2024-02-29,24,50,40,90,2,180,5,10,9,1,0,0.0,1.0,0.0
173951,2024-02-05,33,15,0,15,1,15,4,8,20,0,1,0.0,1.0,0.0
168749,2024-03-02,20,65,0,65,1,65,1,5,3,0,1,1.0,0.0,0.0
167082,2024-10-03,20,100,0,100,2,200,4,0,6,0,0,1.0,0.0,0.0
134606,2024-04-08,32,100,40,140,1,140,3,0,7,1,0,1.0,0.0,0.0
178674,2024-04-22,21,15,25,40,3,120,4,8,24,1,0,0.0,1.0,0.0
155829,2023-11-13,26,130,0,130,2,260,1,6,15,0,1,1.0,0.0,0.0
169753,2024-07-13,31,100,0,100,5,500,5,0,15,0,1,1.0,0.0,0.0
167695,2023-12-11,26,45,50,95,2,190,1,9,17,1,0,0.0,1.0,0.0
158619,2024-01-31,24,10,0,10,1,10,4,2,22,0,0,0.0,0.0,1.0
131132,2024-02-03,24,9,0,9,1,9,4,1,2,0,1,0.0,0.0,1.0
132399,2024-01-26,20,65,0,65,2,130,4,5,22,0,1,1.0,0.0,0.0
198208,2024-09-21,25,65,0,65,2,130,5,5,16,0,1,1.0,0.0,0.0
194476,2024-02-09,31,9,0,9,3,27,1,1,3,0,0,0.0,0.0,1.0
137794,2024-01-20,23,97,0,97,1,97,2,7,15,0,1,1.0,0.0,0.0
158342,2024-03-30,34,97,0,97,1,97,3,7,15,0,1,1.0,0.0,0.0
132788,2024-11-03,19,118,0,118,1,118,5,3,15,0,1,1.0,0.0,0.0
131843,2024-09-24,34,130,0,130,3,390,4,6,3,0,1,1.0,0.0,0.0
169590,2023-12-02,35,118,0,118,4,472,4,3,2,0,0,1.0,0.0,0.0
172697,2023-11-16,34,15,0,15,1,15,3,8,6,0,1,0.0,1.0,0.0
130779,2024-08-03,18,65,0,65,2,130,3,5,2,0,0,1.0,0.0,0.0
152864,2023-11-12,32,15,0,15,1,15,4,8,19,0,1,0.0,1.0,0.0
122419,2024-04-10,33,15,0,15,1,15,4,8,19,0,1,0.0,1.0,0.0
155500,2024-02-05,27,15,50,65,1,65,5,8,17,1,0,0.0,1.0,0.0
175860,2024-07-24,21,15,0,15,2,30,5,8,11,0,0,0.0,1.0,0.0
186716,2023-12-11,19,15,0,15,4,60,4,8,16,0,0,0.0,1.0,0.0
187116,2024-02-26,31,118,0,118,1,118,4,3,10,0,0,1.0,0.0,0.0
121074,2024-05-13,35,97,0,97,1,97,1,7,2,0,1,1.0,0.0,0.0
173964,2024-05-22,28,130,0,130,2,260,1,6,3,0,1,1.0,0.0,0.0
145870,2024-01-22,18,97,40,137,2,274,4,7,1,1,1,1.0,0.0,0.0
136732,2024-06-12,26,9,40,49,2,98,5,1,1,1,1,0.0,0.0,1.0
191495,2023-12-14,21,118,40,158,3,474,3,3,5,1,0,1.0,0.0,0.0
169331,2024-03-20,23,10,0,10,2,20,3,2,22,0,0,0.0,0.0,1.0
151140,2023-12-10,29,15,0,15,2,30,3,8,3,0,1,0.0,1.0,0.0
187087,2023-11-21,35,15,0,15,1,15,4,8,3,0,1,0.0,1.0,0.0
131554,2024-10-20,23,15,0,15,1,15,3,8,18,0,1,0.0,1.0,0.0
123826,2024-05-08,21,130,0,130,1,130,1,6,11,0,1,1.0,0.0,0.0
135782,2024-03-14,27,20,0,20,1,20,4,11,19,0,0,0.0,1.0,0.0
123608,2024-07-28,33,65,0,65,1,65,5,5,2,0,1,1.0,0.0,0.0
123848,2024-03-24,20,15,0,15,1,15,4,8,3,0,1,0.0,1.0,0.0
165876,2024-07-18,18,10,0,10,1,10,5,2,3,0,0,0.0,0.0,1.0
192958,2023-11-20,34,15,0,15,2,30,4,8,6,0,1,0.0,1.0,0.0
