,RMSE,MAE,R²
XGBoost,280.43896484375,233.6589508056641,0.8175467252731323
LGBMRegressor,261.4881407376514,211.50413766826384,0.841372326397505
RandomForestRegressor,245.9817209527988,186.37049122807025,0.8596279533520464
LinearRegression,187.2547069362164,144.31518881330877,0.9186532049262144
SVR,186.9832907265792,144.29999747003532,0.918888850139806
StackingRegressor,178.7575790060028,141.2564160360749,0.9258683120135704
Ridge,239.53669562250656,181.4077001083698,0.8668874297478788
BayesianRidge,195.35146541301376,149.68345911682988,0.9114663625915864
Lasso,183.7284576177107,144.82616178170238,0.9216880894958056
ElasticNet,184.00471426349085,145.39762102800512,0.9214524107040556
"ARIMA(1,0,1)",618.121357074374,509.2359304162692,-0.03769849256548641
"SARIMAX(1,0,1,8)",612.7970996637988,501.4793724230862,-0.019898819941650547
