XGBoost,LGBMRegressor,RandomForestRegressor,LinearRegression,SVR,Ridge,BayesianRidge,Lasso,ElasticNet,StackingRegressor
1962.6619,2019.2263956253475,1971.64,1914.2342518370517,1979.44920447981,1997.3018979249523,1911.4007483263458,1948.1054850449611,1972.0538096090609,1922.5494279069721
1595.8114,1518.3094014694661,1558.06,1457.3785726088095,1507.8347178800034,1613.0798228551848,1481.7543602232115,1488.0367698885204,1493.7929017482777,1488.6712924695253
1681.6041,1882.5101509655772,1794.12,1901.9515491939048,1917.0969498343768,1872.1930754222115,1885.1110171405785,1933.88265990695,1949.1063186804508,1864.7482754417854
2099.0432,2463.6110810462887,2204.02,2325.694459520837,2270.8733428674755,1987.0645362742216,2325.999885284539,2400.9549552331996,2372.3698872117684,2307.6397367994523
2720.302,2380.1662107444686,2664.16,2767.2204654810503,2865.5514573012483,3076.846155916274,2828.8311144540085,2779.15731714452,2835.4473642397897,2757.2979129533946
1909.37,2068.432866292377,2093.86,2203.6119730597065,2333.5865278807473,2375.490331903902,2245.171512810488,2287.0849479819894,2290.6805613340334,2180.400716734078
1561.2665,1697.065274411173,1614.85,1643.9291996630486,1651.5928979569583,1618.4432651938578,1612.4670499670765,1697.9361230280317,1672.7392699878076,1617.0515069123535
2689.6086,2902.6641809481143,2737.74,2716.513673175215,2723.259015133605,2677.2565952493715,2694.8939137752236,2742.358356268109,2748.7674436471484,2704.1104231706777
1792.8112,1835.185767405947,1794.05,1923.904729784266,1914.9791100816803,1818.0810647883297,1907.9298770214175,1963.410691871456,1967.5423019120276,1893.3258919509838
3252.8357,3331.359108383405,3146.75,3190.699722705907,3159.6661292077047,3192.8683211525786,3237.9661987120053,3180.9078436939826,3191.5619081546747,3193.9897978469426
2471.6753,2442.9655121711507,2288.96,2274.177078751763,2248.492548428942,2010.9593679155441,2242.8529960986066,2353.358275822247,2322.4475103203695,2266.814421255494
2311.6106,2185.266232814592,2236.38,2066.2363747171216,2094.577146694996,2053.1260122810345,2051.145699644985,2097.720318502668,2127.031913762734,2100.9383858866163
2413.6887,2491.852825173072,2332.76,2438.0634649379617,2381.6746153985155,2131.617647169642,2423.386796110656,2477.3599161021384,2450.70135817389,2412.2211118817245
1050.7289,1223.2149426715891,1251.73,1231.2923348011898,1085.7460924303161,1281.864152787037,1208.3457398444366,1115.3964163246208,1098.8747131641614,1209.9781030291854
2414.288,2381.4897395582325,2457.485,2321.8998812475143,2422.248637400568,2496.0408952754074,2284.951082191795,2367.6088513716995,2408.2594192568317,2321.6647549367544
1932.1313,2029.8857809371527,2129.03,2153.795302272409,2190.919937216677,2113.88988566414,2145.8121833795226,2214.736124808817,2210.4995658376297,2138.0788856854365
3028.8108,2865.3916187356435,2971.24,2831.4346609334475,2798.8013867735867,2786.853342739154,2802.61811510056,2812.6547671277067,2821.094953478378,2854.944445948641
2449.824,2525.6054909370455,2431.48,2424.311333136144,2389.456086079125,2199.462322271828,2408.3518197254043,2461.923510348462,2456.861916327694,2413.9443060693857
2812.8281,2782.6126826545533,2807.46,2682.3568376127564,2634.642392385286,2505.473400525238,2672.727718184038,2692.651707445263,2679.494637905599,2704.094043673587
1425.5308,1311.8445687997755,1510.62,1379.9832256579136,1424.7750351573343,1520.4171730998737,1392.4999179507836,1427.1284840244753,1405.0866199991062,1391.8230935999222
2263.0122,2163.9527939210852,2174.48,1944.0101552591466,2000.9511770824904,1950.9173307408983,1927.419686573429,2006.9781654528904,2005.339232021753,1995.6002075310237
3837.7615,3787.073426519067,3640.16,3311.6092565941813,3405.99795164587,3516.6025810129513,3331.7591208895415,3439.58355496742,3436.9306830351147,3383.7109869207443
2659.1997,2665.3058645222536,2690.75,2533.326115389356,2540.5071326284674,2468.0893724974553,2519.843564789217,2562.4228336946458,2567.228375689072,2565.2085764287563
3518.8232,3284.8478102512377,3207.62,3069.4133734590287,2980.9376247436744,2826.832382165886,3097.410571465906,3073.7194639760687,3055.2081064097974,3108.301137238992
2527.5713,2464.340382595174,2391.56,2130.3371193030794,2148.5064092511316,2075.060599629194,2114.052704463791,2165.3482668637294,2190.1930248965737,2179.7919714956574
2022.809,1966.9336755084944,2134.125,1992.447862411146,2100.475570193958,2216.7047145537103,1971.8984767658308,2026.5313304825697,2088.5058782074193,2002.4885594525056
2719.3176,2653.8175039029925,2644.11,2533.348234754164,2542.5378070916054,2482.423266032665,2515.1180755667956,2553.134348092139,2556.2143957791195,2549.439895424565
1586.0266,1442.907442347307,1564.78,1451.2934930351946,1482.3006623575932,1569.3817019746548,1457.3833761010349,1478.2230160058357,1470.2751559652347,1478.749257324447
1205.5062,1218.2523173928353,1050.82,1133.5555305286928,1048.4662998239512,1194.7994521796068,1094.523579551522,1145.203955401853,1059.541786925879,1075.4320574183557
2227.2427,2043.5556642453537,2195.77,2313.21316546687,2382.9052878539082,2427.7416566095885,2317.956357629494,2341.5548697317363,2363.1826597676677,2275.8355224229854
3132.7786,3160.3434414582607,3113.93,2889.038917163499,2909.103733103723,2798.463002557636,2896.5902985802386,2977.3341825538155,2970.4707638872187,2926.5565172138636
2558.2324,2469.042846101947,2550.0,2397.537776291295,2400.8072224459615,2261.320069218726,2398.0469153542695,2457.5530653113537,2452.2075314937397,2418.1267349716227
2399.9883,2267.1830097849274,2353.77,2052.1265584253565,2110.637335164473,2114.6815600394884,2047.7649864785722,2097.9834437282375,2127.124584651074,2113.6941110721714
2442.51,2333.1138062413156,2481.99,2194.746026666721,2265.280976147857,2235.5826260533468,2182.048094347089,2256.7023457472014,2277.199443503206,2248.106586307238
3121.013,3615.730793275079,3224.77,3590.323340470777,3410.149069483858,3516.044705342039,3638.3718716592716,3441.6578762743798,3437.5799938845275,3509.629260773833
2423.8066,2285.9157465843437,2426.8746666666666,2405.8553143061245,2426.700342797209,2366.9741347464796,2391.994179485051,2436.991247847987,2440.4571280934056,2397.245951346798
1918.7627,1871.7489009403132,2064.42,2255.323910960069,2286.2390865948987,2128.1704438762963,2271.7267191319825,2341.962590323241,2360.6722972221146,2190.9234841861444
2428.8533,2531.3399506082774,2435.45,2548.1897356026784,2540.1683745677587,2451.9926056286417,2535.7950962935674,2570.944094275807,2562.3463511235477,2522.154327833425
2176.1328,2230.3114474579793,2120.03,1918.2380316594986,1955.1496838149617,1919.2060156316397,1906.0055804877616,1964.1046189048307,1978.563363065905,1958.9892864361552
2667.0144,2589.9551913424452,2713.41,2391.042768865298,2519.2941574547444,2466.277500870196,2375.460889600031,2538.3783261177823,2560.829141894508,2451.4385419511586
1518.124,1481.2478021122552,1601.98,1724.8560303316353,1729.2308135447095,1760.5634848994362,1708.3626674010543,1714.194061814473,1735.413132483098,1690.0586795073616
3473.5347,3671.2495920205274,3348.06,3716.8007908507384,3443.4676926280376,3469.7715505342626,3797.3022882854534,3507.717006569509,3489.3563226753154,3651.7891915133127
3119.5793,3163.0881319420523,3202.25,3198.8705727823562,3048.1386491814633,2971.168596816484,3190.5073477997776,3112.3504352100745,3095.200787745857,3191.684214231084
2825.7168,2359.706371892186,2749.93,2744.814220692248,2780.4974829480057,2807.1184891317394,2702.134194867867,2775.019606975154,2792.8058332314945,2725.1428159581906
1670.7571,1681.557302946542,1868.83,1699.1116104894793,1641.6706438360272,1466.4784655136548,1647.4443007160646,1800.805675890877,1734.5873546303221,1685.8402882448784
2568.1987,2502.136730598438,2478.54,2427.7524120160097,2398.6366586671215,2195.394538922107,2433.906957361741,2478.4792902443587,2480.8065778267564,2432.3189193214102
