XGBoost,LGBMRegressor,RandomForestRegressor,LinearRegression,SVR,Ridge,BayesianRidge,Lasso,ElasticNet,StackingRegressor,"ARIMA(1,0,1)","SARIMAX(1,0,1,8)"
1962.6619,2019.2263956253475,1971.64,1914.234251837052,1979.44920447981,1997.3018979249523,1911.4007483263456,1948.1054850449607,1972.0538096090609,1922.549427906972,2338.1634750939593,2230.91084100721
1595.8114,1518.309401469466,1558.06,1457.3785726088097,1507.8347178800034,1613.0798228551848,1481.7543602232115,1488.0367698885204,1493.7929017482777,1488.6712924695253,2384.08682936713,2112.011130000008
1681.6041,1882.5101509655767,1794.12,1901.9515491939048,1917.0969498343768,1872.1930754222117,1885.1110171405785,1933.88265990695,1949.1063186804508,1864.7482754417852,2344.070238985914,2165.9986207488373
2099.0432,2463.6110810462887,2204.02,2325.694459520837,2270.8733428674755,1987.0645362742216,2325.999885284539,2400.9549552332,2372.3698872117684,2307.6397367994523,2378.9398065748296,2355.389420410065
2720.302,2380.166210744469,2664.16,2767.2204654810503,2865.5514573012483,3076.846155916274,2828.8311144540085,2779.15731714452,2835.4473642397897,2757.297912953394,2348.555240267334,2423.8244211504693
1909.37,2068.432866292377,2093.86,2203.6119730597065,2333.586527880748,2375.490331903902,2245.171512810488,2287.084947981989,2290.680561334033,2180.400716734078,2375.031676126208,2267.8718870534467
1561.2665,1697.065274411173,1614.85,1643.9291996630486,1651.5928979569585,1618.4432651938578,1612.4670499670765,1697.9361230280315,1672.7392699878076,1617.0515069123535,2351.9606982917758,2406.8499202898815
2689.6086,2902.6641809481143,2737.74,2716.513673175215,2723.259015133605,2677.2565952493715,2694.893913775224,2742.358356268109,2748.7674436471484,2704.1104231706777,2372.064235681551,2394.2761247118383
1792.8112,1835.185767405947,1794.05,1923.904729784266,1914.9791100816803,1818.0810647883295,1907.9298770214173,1963.410691871456,1967.542301912028,1893.325891950984,2354.5464599512597,2344.110180771598
3252.8357,3331.359108383405,3146.75,3190.699722705907,3159.6661292077047,3192.8683211525786,3237.9661987120053,3180.9078436939826,3191.5619081546747,3193.9897978469426,2369.8110604336034,2060.7305878205125
2471.6753,2442.9655121711507,2288.96,2274.177078751763,2248.492548428942,2010.959367915544,2242.8529960986066,2353.358275822247,2322.447510320369,2266.814421255494,2356.509826791101,2264.2107763270624
2311.6106,2185.266232814592,2236.38,2066.2363747171216,2094.577146694996,2053.1260122810345,2051.145699644985,2097.720318502668,2127.031913762734,2100.9383858866163,2368.100226200315,2322.901883746575
2413.6887,2491.852825173072,2332.76,2438.0634649379617,2381.6746153985155,2131.617647169642,2423.386796110656,2477.3599161021384,2450.70135817389,2412.2211118817245,2358.00060972295,2505.687256043102
1050.7289,1223.2149426715891,1251.73,1231.2923348011898,1085.746092430316,1281.864152787037,1208.3457398444366,1115.3964163246208,1098.8747131641614,1209.9781030291854,2366.801191082448,2364.133513953355
2414.288,2381.4897395582325,2457.485,2321.8998812475143,2422.248637400568,2496.040895275408,2284.951082191795,2367.6088513716995,2408.259419256832,2321.6647549367544,2359.1325600568316,2421.588584396488
1932.1313,2029.8857809371527,2129.03,2153.795302272409,2190.919937216677,2113.88988566414,2145.8121833795226,2214.736124808817,2210.4995658376297,2138.0788856854365,2365.8148347162864,2351.494134061501
3028.8108,2865.3916187356435,2971.24,2831.4346609334475,2798.8013867735867,2786.853342739154,2802.61811510056,2812.6547671277067,2821.094953478378,2854.944445948641,2359.9920490749855,2357.802557023409
2449.824,2525.605490937045,2431.48,2424.311333136144,2389.456086079125,2199.462322271828,2408.3518197254043,2461.923510348462,2456.861916327694,2413.9443060693857,2365.0658950858747,2054.5291208837393
2812.8281,2782.6126826545533,2807.46,2682.3568376127564,2634.642392385286,2505.473400525238,2672.727718184038,2692.651707445263,2679.494637905599,2704.094043673587,2360.6446584256046,2276.0904524560374
1425.5308,1311.8445687997755,1510.62,1379.9832256579136,1424.7750351573343,1520.4171730998737,1392.4999179507836,1427.1284840244753,1405.0866199991062,1391.8230935999222,2364.4972258003663,2318.9734309261785
2263.0122,2163.952793921085,2174.48,1944.0101552591464,2000.9511770824904,1950.9173307408985,1927.419686573429,2006.9781654528904,2005.339232021753,1995.600207531024,2361.140184203735,2515.5894816277546
3837.7615,3787.073426519067,3640.16,3311.6092565941813,3405.99795164587,3516.6025810129518,3331.759120889541,3439.58355496742,3436.9306830351147,3383.7109869207443,2364.0654356491323,2375.7772735245435
2659.1997,2665.3058645222536,2690.75,2533.326115389356,2540.5071326284674,2468.0893724974558,2519.843564789217,2562.4228336946458,2567.228375689072,2565.2085764287563,2361.516436546057,2423.372140874163
3518.8232,3284.8478102512377,3207.62,3069.4133734590287,2980.9376247436744,2826.832382165886,3097.410571465906,3073.7194639760687,3055.208106409797,3108.301137238992,2363.7375777193065,2346.3205668120822
2527.5713,2464.340382595174,2391.56,2130.33711930308,2148.506409251132,2075.060599629194,2114.052704463791,2165.3482668637294,2190.1930248965737,2179.791971495657,2361.8021246602793,2359.4595649111757
2022.809,1966.9336755084944,2134.125,1992.447862411146,2100.475570193958,2216.7047145537103,1971.8984767658308,2026.5313304825695,2088.5058782074198,2002.4885594525056,2363.488635445281,2053.779968231903
2719.3176,2653.8175039029925,2644.11,2533.348234754164,2542.5378070916054,2482.423266032665,2515.118075566796,2553.134348092139,2556.2143957791195,2549.439895424565,2362.0190474257415,2277.5282141833936
1586.0266,1442.907442347307,1564.78,1451.2934930351946,1482.3006623575932,1569.3817019746548,1457.3833761010349,1478.2230160058357,1470.2751559652347,1478.749257324447,2363.2996137680266,2318.4991992868145
1205.5062,1218.2523173928353,1050.82,1133.5555305286928,1048.4662998239512,1194.7994521796068,1094.523579551522,1145.203955401853,1059.541786925879,1075.4320574183555,2362.183756714764,2516.7880706297883
2227.2427,2043.5556642453537,2195.77,2313.21316546687,2382.905287853908,2427.7416566095885,2317.956357629494,2341.5548697317363,2363.182659767668,2275.8355224229854,2363.156089753827,2377.1865010450792
3132.7786,3160.3434414582607,3113.93,2889.038917163499,2909.103733103723,2798.463002557636,2896.5902985802386,2977.3341825538155,2970.4707638872187,2926.556517213864,2362.308820351273,2423.588776712144
2558.2324,2469.042846101947,2550.0,2397.537776291295,2400.807222445961,2261.320069218726,2398.046915354269,2457.5530653113537,2452.20753149374,2418.1267349716227,2363.0471120802017,2345.6957384422076
2399.9883,2267.1830097849274,2353.77,2052.1265584253565,2110.637335164473,2114.6815600394884,2047.764986478572,2097.983443728237,2127.124584651074,2113.6941110721714,2362.4037810743125,2359.660894631379
2442.51,2333.113806241316,2481.99,2194.746026666721,2265.280976147857,2235.5826260533468,2182.048094347089,2256.702345747201,2277.199443503206,2248.106586307238,2362.9643654164115,2053.6902727814872
3121.013,3615.730793275079,3224.77,3590.323340470777,3410.149069483858,3516.044705342039,3638.371871659272,3441.65787627438,3437.5799938845275,3509.629260773833,2362.4758846783,2277.703026013863
2423.8066,2285.915746584344,2426.8746666666666,2405.8553143061245,2426.700342797209,2366.97413474648,2391.994179485051,2436.991247847987,2440.4571280934056,2397.245951346798,2362.9015359382197,2318.442755470539
1918.7627,1871.7489009403128,2064.42,2255.323910960069,2286.2390865948987,2128.1704438762963,2271.7267191319825,2341.962590323241,2360.6722972221146,2190.9234841861444,2362.530632889367,2516.9339544523286
2428.8533,2531.3399506082774,2435.45,2548.1897356026784,2540.1683745677587,2451.9926056286417,2535.7950962935674,2570.944094275807,2562.346351123548,2522.154327833425,2362.853829563739,2377.3578615659144
2176.1328,2230.3114474579797,2120.03,1918.2380316594983,1955.1496838149617,1919.20601563164,1906.0055804877616,1964.1046189048309,1978.563363065905,1958.9892864361552,2362.5722031639343,2423.615893226214
2667.0144,2589.955191342445,2713.41,2391.042768865298,2519.2941574547444,2466.277500870196,2375.460889600031,2538.3783261177823,2560.829141894508,2451.438541951158,2362.8176061502772,2345.6210798206425
1518.124,1481.2478021122552,1601.98,1724.856030331635,1729.2308135447097,1760.5634848994362,1708.3626674010543,1714.194061814473,1735.413132483098,1690.0586795073616,2362.6037674414497,2359.686159805665
3473.5347,3671.249592020528,3348.06,3716.8007908507375,3443.4676926280376,3469.7715505342626,3797.302288285453,3507.717006569509,3489.356322675316,3651.7891915133127,2362.7901017402883,2053.6803384264967
3119.5793,3163.0881319420523,3202.25,3198.870572782356,3048.1386491814637,2971.168596816484,3190.5073477997776,3112.3504352100745,3095.200787745857,3191.684214231084,2362.627734173097,2277.7250837844535
2825.7168,2359.706371892186,2749.93,2744.814220692248,2780.4974829480057,2807.11848913174,2702.134194867867,2775.019606975154,2792.8058332314945,2725.1428159581906,2362.7692176629316,2318.436842836289
1670.7571,1681.557302946542,1868.83,1699.1116104894793,1641.6706438360272,1466.4784655136548,1647.4443007160646,1800.805675890877,1734.587354630322,1685.8402882448784,2362.6459320940085,2516.952513315411
2568.1987,2502.136730598438,2478.54,2427.7524120160097,2398.636658667121,2195.394538922107,2433.906957361741,2478.4792902443587,2480.8065778267564,2432.3189193214102,2362.753360399053,2377.379501803531
2510.4465,2685.5829406992148,2568.29,2760.0644481291765,2683.3732174490583,2391.509354077633,2829.795685086868,2822.33610105285,2793.2522144821564,2736.9760739573217,2362.6597497613643,2423.6200871176093
1725.5127,1596.734624846421,1786.85,1759.7101976412057,1781.1868166122588,1841.996779420739,1743.9854047128304,1740.1011896711702,1793.4810886117696,1742.8494845410492,2362.7413199907824,2345.6129639761502
1527.0005,1620.5651424794914,1643.81,1669.2514028262565,1702.7134510125036,1659.6071877676673,1640.7379512152477,1746.0234686955612,1717.4590602894232,1652.6334413889676,2362.6702415055634,2359.6901297128093
1862.4912,1676.2059358115812,1809.44,1652.0708868134689,1680.2431664085018,1751.1872170285258,1651.0263575598426,1649.8693949407696,1674.7266961406976,1671.3239274084624,2362.7321777180405,2053.680050917926
