XGBoost,LGBMRegressor,RandomForestRegressor,LinearRegression,SVR,Ridge,BayesianRidge,Lasso,ElasticNet,StackingRegressor,"ARIMA(1,0,1)","SARIMAX(1,0,1,8)",Prophet,Date
1962.6619,2019.2263956253475,1971.64,1914.234251837052,1979.44920447981,1997.3018979249523,1911.4007483263456,1948.1054850449607,1972.0538096090609,1922.549427906972,2338.16347509396,2230.91084100721,2203.66593570279,2024-08-21
1595.8114,1518.309401469466,1558.06,1457.3785726088097,1507.8347178800034,1613.0798228551848,1481.7543602232115,1488.0367698885204,1493.7929017482777,1488.6712924695253,2384.08682936713,2112.011130000008,2185.532021476233,2024-08-22
1681.6041,1882.5101509655767,1794.12,1901.9515491939048,1917.0969498343768,1872.193075422212,1885.1110171405785,1933.88265990695,1949.1063186804508,1864.7482754417847,2344.070238985914,2165.9986207488373,2286.862359585327,2024-08-23
2099.0432,2463.6110810462887,2204.02,2325.694459520837,2270.8733428674755,1987.0645362742216,2325.999885284539,2400.9549552332,2372.3698872117684,2307.6397367994523,2378.9398065748296,2355.389420410065,2419.177421104437,2024-08-24
2720.302,2380.166210744469,2664.16,2767.2204654810503,2865.5514573012483,3076.846155916274,2828.8311144540085,2779.15731714452,2835.4473642397897,2757.297912953394,2348.555240267334,2423.8244211504693,2364.2871146176103,2024-08-25
1909.37,2068.432866292377,2093.86,2203.6119730597065,2333.586527880748,2375.490331903902,2245.171512810488,2287.084947981989,2290.680561334033,2180.400716734078,2375.031676126208,2267.8718870534467,2372.0711208504067,2024-08-26
1561.2665,1697.065274411173,1614.85,1643.9291996630486,1651.5928979569585,1618.4432651938578,1612.4670499670765,1697.9361230280315,1672.7392699878076,1617.0515069123535,2351.960698291776,2406.849920289881,2409.469630457342,2024-08-27
2689.6086,2902.6641809481143,2737.74,2716.513673175215,2723.259015133605,2677.2565952493715,2694.893913775224,2742.358356268109,2748.7674436471484,2704.1104231706777,2372.064235681551,2394.2761247118383,2492.8162109590417,2024-08-28
1792.8112,1835.185767405947,1794.05,1923.904729784266,1914.9791100816803,1818.0810647883293,1907.9298770214173,1963.410691871456,1967.542301912028,1893.325891950984,2354.54645995126,2344.110180771598,2464.5138392030144,2024-08-29
3252.8357,3331.359108383405,3146.75,3190.699722705907,3159.6661292077047,3192.8683211525786,3237.9661987120053,3180.9078436939826,3191.5619081546747,3193.9897978469426,2369.8110604336034,2060.7305878205125,2552.5049864426182,2024-08-30
2471.6753,2442.9655121711507,2288.96,2274.177078751763,2248.492548428942,2010.959367915544,2242.8529960986066,2353.358275822247,2322.447510320369,2266.814421255494,2356.509826791101,2264.2107763270624,2668.723899245632,2024-08-31
2311.6106,2185.266232814592,2236.38,2066.2363747171216,2094.577146694996,2053.1260122810345,2051.145699644985,2097.720318502668,2127.031913762734,2100.9383858866163,2368.100226200315,2322.901883746575,2595.4343598114083,2024-09-01
2413.6887,2491.852825173072,2332.76,2438.0634649379617,2381.6746153985155,2131.617647169642,2423.386796110656,2477.3599161021384,2450.70135817389,2412.2211118817245,2358.00060972295,2505.687256043102,2582.99956913956,2024-09-02
1050.7289,1223.2149426715891,1251.73,1231.2923348011898,1085.746092430316,1281.864152787037,1208.3457398444366,1115.3964163246208,1098.8747131641614,1209.9781030291854,2366.801191082448,2364.133513953355,2598.861987343272,2024-09-03
2414.288,2381.4897395582325,2457.485,2321.8998812475143,2422.248637400568,2496.040895275408,2284.951082191795,2367.6088513716995,2408.259419256832,2321.6647549367544,2359.132560056832,2421.588584396488,2659.8651001727785,2024-09-04
1932.1313,2029.8857809371527,2129.03,2153.795302272409,2190.919937216677,2113.88988566414,2145.8121833795226,2214.736124808817,2210.4995658376297,2138.0788856854365,2365.8148347162864,2351.494134061501,2608.918393616667,2024-09-05
3028.8108,2865.3916187356435,2971.24,2831.4346609334475,2798.8013867735867,2786.853342739154,2802.61811510056,2812.6547671277067,2821.094953478378,2854.944445948641,2359.992049074985,2357.802557023409,2674.456666032397,2024-09-06
